"Month","Sales"
1991-07-01,30.526591
1991-08-01,30.180891
1991-09-01,30.252221
1991-10-01,30.611003
1991-11-01,30.565869
1991-12-01,40.306371
1992-01-01,50.088335
1992-02-01,20.81452
1992-03-01,20.985811
1992-04-01,30.20478
1992-05-01,30.127578
1992-06-01,30.270523
1992-07-01,30.73785082
1992-08-01,30.55877609
1992-09-01,30.77720173
1992-10-01,30.92449042
1992-11-01,40.38653092
1992-12-01,50.81054917
1993-01-01,60.19206769
1993-02-01,30.45085699
1993-03-01,30.77230686
1993-04-01,30.7343029
1993-05-01,30.90539892
1993-06-01,40.04968714
1993-07-01,40.31556552
1993-08-01,40.56218455
1993-09-01,40.60866203
1993-10-01,40.66785129
1993-11-01,50.09384145
1993-12-01,70.1799622
1994-01-01,60.73147308
1994-02-01,30.84127758
1994-03-01,40.39407557
1994-04-01,40.07534073
1994-05-01,40.5406449
1994-06-01,40.64561508
1994-07-01,40.75260653
1994-08-01,50.35060467
1994-09-01,50.20445484
1994-10-01,50.3016513
1994-11-01,50.77374216
1994-12-01,60.20459348
1995-01-01,60.74948382
1995-02-01,40.21606735
1995-03-01,40.94934946
1995-04-01,40.8230449
1995-05-01,50.19475419
1995-06-01,50.17078711
1995-07-01,50.25674157
1995-08-01,50.85527729
1995-09-01,50.49072901
1995-10-01,60.11529323
1995-11-01,60.08847284
1995-12-01,70.41659792
1996-01-01,80.32945212
1996-02-01,50.06979585
1996-03-01,50.26255667
1996-04-01,50.59712628
1996-05-01,60.110296
1996-06-01,50.68916084
1996-07-01,60.48684933
1996-08-01,60.30056933
1996-09-01,60.46747574
1996-10-01,60.82862939
1996-11-01,60.64907826
1996-12-01,80.60693721
1997-01-01,80.52447101
1997-02-01,50.27791837
1997-03-01,50.71430345
1997-04-01,60.21452908
1997-05-01,60.41192919
1997-06-01,60.66771564
1997-07-01,70.05083102
1997-08-01,60.70491861
1997-09-01,70.25098761
1997-10-01,70.81973318
1997-11-01,70.39810106
1997-12-01,100.09623339
1998-01-01,80.79851303
1998-02-01,50.91826076
1998-03-01,60.53449298
1998-04-01,60.67573561
1998-05-01,70.06420058
1998-06-01,70.38338118
1998-07-01,70.81349587
1998-08-01,70.43189221
1998-09-01,80.27511722
1998-10-01,80.26044138
1998-11-01,80.59615575
1998-12-01,100.55893902
1999-01-01,100.3914156
1999-02-01,60.42153456
1999-03-01,80.06261937
1999-04-01,70.2977391
1999-05-01,70.93691594
1999-06-01,80.16532298
1999-07-01,80.71742046
1999-08-01,90.07096378
1999-09-01,90.17711337
1999-10-01,90.25188674
1999-11-01,90.93313643
1999-12-01,110.53297428
2000-01-01,120.51146235
2000-02-01,70.45719853
2000-03-01,80.59119084
2000-04-01,80.47400037
2000-05-01,90.3868026
2000-06-01,90.56039945
2000-07-01,100.8342948
2000-08-01,100.64375083
2000-09-01,90.90816186
2000-10-01,110.7100413
2000-11-01,110.34015074
2000-12-01,120.07913184
2001-01-01,140.49758109
2001-02-01,80.04927477
2001-03-01,100.31289116
2001-04-01,90.75335821
2001-05-01,100.85038183
2001-06-01,90.96171916
2001-07-01,110.44360144
2001-08-01,110.65923889
2001-09-01,100.64705979
2001-10-01,120.65213444
2001-11-01,130.67446631
2001-12-01,120.96573509
2002-01-01,160.30026927
2002-02-01,90.05348536
2002-03-01,100.00244879
2002-04-01,100.78875007
2002-05-01,120.10670515
2002-06-01,100.95410107
2002-07-01,120.84456587
2002-08-01,120.19649985
2002-09-01,120.85474787
2002-10-01,130.54200436
2002-11-01,130.28764
2002-12-01,150.13491784
2003-01-01,160.82834968
2003-02-01,90.80021461
2003-03-01,100.81699371
2003-04-01,100.65422256
2003-05-01,120.51232269
2003-06-01,120.16120969
2003-07-01,120.9980462
2003-08-01,120.51727568
2003-09-01,130.26865761
2003-10-01,140.73362169
2003-11-01,130.66938174
2003-12-01,160.50396561
2004-01-01,180.00376795
2004-02-01,110.93802987
2004-03-01,120.9979001
2004-04-01,120.88264507
2004-05-01,130.94344681
2004-06-01,130.9894722
2004-07-01,150.33909742
2004-08-01,150.37076394
2004-09-01,160.142005
2004-10-01,160.685754
2004-11-01,170.636728
2004-12-01,180.869325
2005-01-01,200.778723
2005-02-01,120.154552
2005-03-01,130.402392
2005-04-01,140.459239
2005-05-01,140.795102
2005-06-01,150.705248
2005-07-01,150.82955
2005-08-01,170.554701
2005-09-01,180.100864
2005-10-01,170.496668
2005-11-01,190.347265
2005-12-01,200.031291
2006-01-01,230.486694
2006-02-01,120.536987
2006-03-01,150.467018
2006-04-01,140.233539
2006-05-01,170.783058
2006-06-01,160.291602
2006-07-01,160.980282
2006-08-01,180.612189
2006-09-01,160.623343
2006-10-01,210.430241
2006-11-01,230.575517
2006-12-01,230.334206
2007-01-01,280.038383
2007-02-01,160.763869
2007-03-01,190.792754
2007-04-01,160.427305
2007-05-01,210.000742
2007-06-01,200.681002
2007-07-01,210.83489
2007-08-01,230.93020353
2007-09-01,220.93035694
2007-10-01,230.26333992
2007-11-01,250.25003022
2007-12-01,250.80609
2008-01-01,290.665356
2008-02-01,210.654285
2008-03-01,180.264945
2008-04-01,230.107677
2008-05-01,220.91251
2008-06-01,190.43174
